ID	sexo	modulo	cheque	evolcredor	evoldevedor	evolpoup	idade	salario	cartaocancel	bancsal	tempo	status
1	M	140	0	D	A	M	32	3	0	0	4,5	1
2	M	110	3	A	M	M	55	0	0	0	21,3	1
3	F	110	5	D	A	M	58	11	0	1	111,4	1
4	M	110	0	M	M	M	48	1	1	0	28,0	0
5	M	110	0	A	M	M	41	2	1	0	9,4	1
6	F	999	9	D	A	M	34	4	0	0	1,5	1
7	F	0	0	M	M	M	20	6	1	1	155,8	1
8	M	0	0	A	D	M	27	2	1	0	88,7	1
9	M	110	0	D	M	M	30	3	0	0	10,4	1
10	F	110	0	M	M	M	28	6	0	1	224,6	1
11	M	0	5	M	D	M	26	3	0	1	41,6	0
12	M	0	0	D	D	M	39	3	0	0	68,3	1
13	M	999	0	M	M	A	43	0	0	0	97,3	1
14	F	0	5	A	M	M	25	0	0	1	11,9	1
15	M	0	5	D	A	A	36	1	0	0	4,9	1
16	M	999	5	A	M	M	41	3	0	0	67,9	1
17	F	110	5	M	M	M	30	0	0	0	1,4	1
18	M	120	3	A	M	A	30	4	1	0	144,5	1
19	F	110	0	A	D	M	26	0	0	0	40,9	1
20	M	110	0	A	M	M	37	4	1	1	14,3	1
21	F	110	9	D	A	M	41	4	0	1	0,4	1
22	M	0	0	A	M	M	36	0	0	1	8,3	1
23	F	140	9	D	A	A	50	0	0	0	7,5	1
24	M	110	9	M	M	M	30	0	0	0	5,2	1
25	M	0	0	A	A	A	25	2	1	0	58,3	1
26	M	999	0	M	M	M	23	0	1	0	18,4	1
27	M	110	9	D	A	A	42	4	0	0	100,5	1
28	F	0	3	A	M	M	28	2	0	0	32,0	0
29	M	999	0	A	D	M	35	1	0	1	105,6	0
30	F	999	5	D	A	A	36	2	1	0	32,9	1
31	M	999	0	A	M	A	36	3	0	0	353,9	1
32	F	110	0	A	M	M	60	0	0	0	2,7	0
33	M	110	0	A	M	M	31	1	1	1	45,7	0
34	F	110	0	M	D	M	32	0	0	1	34,6	1
35	M	0	0	A	M	M	32	0	0	0	2,3	1
36	M	110		D	M	M	28	0	0	1	14,7	1
37	F	0	9	A	M	M	32	1	0	1	90,0	1
38	F	0	0	M	A	D	29	3	0	0	1,3	1
39	M	110	0	M	M	M	51	4	1	0	8,9	1
40	M	0	0	M	M	M	23	0	1	1	3,4	1
41	M	0	9	A	M	M	60	9	0	0	118,3	1
42	F	110	9	M	D	M	72	4	0	0	73,6	1
43	M	110	3	A	M	M	23	0	1	1	8,8	1
44	M	140	9	A	M	M	38	1	1	0	4,4	1
45	M	999	5	M	A	A	26	3	0	1	4,1	0
46	M	110	3	A	M	M	31	3	0	0	57,1	1
47	M	0	5	A	D	M	67	1	1	0	8,4	1
48	M	0	0	D	M	M	42	0	0	0	0,8	1
49	F	140	0	A	M	D	32	4	0	0	14,3	1
